episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,sigma
1,0.8625,0.9500,0.9000,1.0000,0.7000,1.9600
2,0.8850,0.9000,0.9500,1.0000,0.7500,1.9208
3,0.8850,0.9000,0.9500,1.0000,0.7500,1.9784
4,0.8850,0.9000,0.9500,1.0000,0.7500,2.0378
5,0.8850,0.9000,0.9500,1.0000,0.7500,2.0989
6,0.8850,0.9000,0.9500,1.0000,0.7500,2.1619
7,0.8850,0.9000,0.9500,1.0000,0.7500,2.2267
8,0.8850,0.9000,0.9500,1.0000,0.7500,2.2935
9,0.8850,0.9000,0.9500,1.0000,0.7500,2.3623
10,0.8850,0.9000,0.9500,1.0000,0.7500,2.4332
11,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
12,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
13,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
14,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
15,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
16,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
17,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
18,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
19,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
20,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
21,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
22,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
23,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
24,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
25,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
26,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
27,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
28,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
29,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
30,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
31,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
32,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
33,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
34,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
35,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
36,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
