episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,sigma
37,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
38,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
39,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
40,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
41,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
42,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
43,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
44,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
45,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
46,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
47,0.8850,0.9000,0.9500,1.0000,0.7500,2.4500
48,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
49,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
50,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
51,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
52,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
53,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
54,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
55,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
56,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
57,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
58,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
59,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
60,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
61,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
62,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
63,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
64,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
65,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
66,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
67,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
68,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
69,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
70,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
71,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
72,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
73,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
74,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
75,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
76,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
77,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
78,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
79,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
80,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
81,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
82,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
83,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
84,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
85,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
86,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
87,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
88,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
89,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
90,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
91,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
92,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
93,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
94,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
95,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
96,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
97,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
98,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
99,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
100,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
101,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
102,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
103,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
104,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
105,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
106,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
107,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
108,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
109,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
110,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
111,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
112,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
113,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
114,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
115,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
116,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
117,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
118,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
119,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
120,0.8850,0.9000,0.9500,1.0000,0.7500,2.5000
