episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,solver_alignment,history_win_rate,sigma
1,0.7615,0.6042,0.7917,0.7500,0.4583,0.8333,0.0000,1.7248
2,0.8458,0.8125,0.7708,0.8542,0.4792,1.0000,0.0000,1.6903
3,0.9198,0.6250,0.7917,0.9792,0.6667,1.0000,0.0000,1.6565
4,0.9198,0.6250,0.7917,0.9792,0.6667,1.0000,0.0000,1.7062
5,0.9698,0.8750,0.7708,0.9792,0.6458,0.8333,0.5000,1.6721
6,0.9698,0.8750,0.7708,0.9792,0.6458,0.8333,0.5000,1.7222
7,1.0177,0.8542,0.8750,0.9792,0.6458,0.8333,0.7500,1.6878
8,1.0177,0.8542,0.8750,0.9792,0.6458,0.8333,0.7500,1.7384
9,1.0177,0.8542,0.8750,0.9792,0.6458,0.8333,0.7500,1.7906
10,1.0177,0.8542,0.8750,0.9792,0.6458,0.8333,0.7500,1.8443
11,1.0177,0.8542,0.8750,0.9792,0.6458,0.8333,0.7500,1.8996
12,1.0177,0.8542,0.8750,0.9792,0.6458,0.8333,0.7500,1.9566
