episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,sigma
1,0.7536,0.9286,0.8571,1.0000,0.4286,1.9600
2,0.8929,0.8571,0.8571,1.0000,0.8571,1.9208
3,0.8929,0.8571,0.8571,1.0000,0.8571,1.9784
4,0.8929,0.8571,0.8571,1.0000,0.8571,2.0378
5,0.8929,0.8571,0.8571,1.0000,0.8571,2.0989
6,0.8929,0.8571,0.8571,1.0000,0.8571,2.1619
7,0.8929,0.8571,0.8571,1.0000,0.8571,2.2267
8,0.8929,0.8571,0.8571,1.0000,0.8571,2.2935
9,0.8929,0.8571,0.8571,1.0000,0.8571,2.3623
10,0.8929,0.8571,0.8571,1.0000,0.8571,2.4332
11,0.8929,0.8571,0.8571,1.0000,0.8571,2.5000
12,0.8929,0.8571,0.8571,1.0000,0.8571,2.5000
13,0.8929,0.8571,0.8571,1.0000,0.8571,2.5000
14,0.9321,1.0000,0.9286,1.0000,0.8571,2.4500
15,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
16,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
17,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
18,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
19,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
20,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
21,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
22,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
23,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
24,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
25,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
26,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
27,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
28,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
29,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
30,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
31,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
32,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
33,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
34,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
35,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
36,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
37,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
38,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
39,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
40,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
41,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
42,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
43,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
44,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
45,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
46,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
47,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
48,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
49,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
50,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
51,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
52,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
53,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
54,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
55,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
56,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
57,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
58,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
59,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
60,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
61,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
62,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
63,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
64,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
65,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
66,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
67,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
68,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
69,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
70,0.9321,1.0000,0.9286,1.0000,0.8571,2.5000
