life,opening_hand,mode,deck_size,mountains,bolts,goblins,score
5,5,evolutionary,12,4,8,0,0.8750
5,7,evolutionary,12,2,8,2,0.8438
10,5,evolutionary,12,4,4,4,0.8750
10,7,evolutionary,12,5,5,2,0.9688
20,5,evolutionary,12,3,6,3,0.9219
20,7,evolutionary,12,4,4,4,0.9688
